Issue Key,SUMMARY,FixVersion,Parent,CE,EE
EE-5664,[MustHave] [NOTRegression][REVIEWED] Client secret in OAuth blank when a secret is set,EE-2.20.0,,✓,✓
EE-5649,"[x] when edge stack file is missing, edit edge stack view will fail to open",EE-2.20.0,,✓,✓
EE-5642,[x] RemoveStackCommand is calling the wrong function,EE-2.20.0,,-,✓
EE-5575,[x] Add dropdown to hide environment variables in stack UI,EE-2.20.0,,✓,✓
EE-5531,Dynamic edge groups will create a stack even if there is no environment,EE-2.20.0,,✓,✓
EE-5512,[x] Re-introduce coloured logs from the Portainer binary and improve readability,EE-2.20.0,,✓,✓
EE-5450,[x] API for system/version to display CE and EE,EE-2.20.0,,✓,✓
EE-5436,[x] Missing information on registry tag view,EE-2.20.0,,-,✓
EE-5396,[x] Hiding a container will label a container image as Unused,EE-2.20.0,,✓,✓
EE-5370,[x] Console error when resizing browser,EE-2.20.0,,✓,✓
EE-5097,Container Logs - wrap line toggled on is mangling logs ,EE-2.20.0,,-,✓
EE-5037,"""Image not found on registry"" error when upgrading from CE to BE",CE-2.20.0,,✓,-
EE-4880,Separate Tunnel Address and API Server URL from Edge Compute Toggle,EE-2.20.0,,-,✓
EE-4844,"On deleting a Docker Swarm agent stack, logs flood with '[err: Error: No such container: xxx]'",EE-2.20.0,,-,✓
EE-4797,Swarm Stacks fail to start after having been stopped with private image,EE-2.20.0,,-,✓
EE-4337,Inconsistent data table selection behaviour,EE-2.20.0,,✓,✓
EE-3841,Incorrect display when adding environment in groups,EE-2.20.0,,✓,✓
